reference,other,metric,n,mean_diff,t_statistic,p_value
clearshot,background_only,psnr,457,-0.5094677170726349,-7.383345920756413,7.390055644982414e-13
clearshot,background_only,ssim,457,-0.03222114796581099,-15.5347306741282,5.510681686118404e-44
clearshot,background_only,lpips,457,-0.0039460468279193806,-1.7268203740778647,0.08487715345531453
clearshot,opencv,psnr,457,5.656154169295496,19.80234838327933,1.962635961363223e-63
clearshot,opencv,ssim,457,0.1974530016811854,15.64029447396689,1.875428796387842e-44
clearshot,opencv,lpips,457,-0.30407443718833915,-19.592489785595518,1.8418752023576406e-62
clearshot,pil_auto,psnr,457,5.119555666357995,17.200943342080034,1.8046902938927823e-51
clearshot,pil_auto,ssim,457,0.23754326924600144,20.21727109996379,2.334479277823678e-65
clearshot,pil_auto,lpips,457,-0.2849726528214612,-19.97725651500476,3.03256670959334e-64
clearshot,sd_no_lora,psnr,457,0.016943402050358713,1.242563577712918,0.21466728811882632
clearshot,sd_no_lora,ssim,457,-0.00364126672629983,-6.396216704870057,3.9517086186288523e-10
clearshot,sd_no_lora,lpips,457,-0.014802215869499757,-11.409101844074659,1.0733190304504951e-26
